強欲,ラベル_強欲,嫉妬,ラベル_嫉妬,怠惰,ラベル_怠惰,憤怒,ラベル_憤怒,暴食,ラベル_暴食,傲慢,ラベル_傲慢
"RT @Ryoot13: なぜか慕われている人は「褒める時は""過去""と比べ、注意をする時は""未来""と比べる」褒める時は『前のプレゼンより〇〇が格段に良くなってたよ』と過去と比較する。一方注意する時は『次は〇〇をするともっと惹きつけられるよ』と未来と比較する。すると注意の言葉が""…",2,@Yu____n330 おぉ〜😳感動✨船底でこんな光景が見れるなんて😍めっちゃいいな〜!この間もシーサー作ってたり貴重な体験ができる環境うらやましい💕,2,"@goldseinto_odin そうなのｗ　情報が徐々に解き明かされていくこの段階の雰囲気いいよね～(*´∀｀)
「中で1時間は疲れる」ってよく聞くけど、私はあっという間の1時間でした。
待ち時間さえどうにかなればね～　せっかくみんな楽しみにしてたのに惜しい！",2,RT @rikka_info: 💢💢💢 https://t.co/FkBh6fobAl,2,RT @gomomomomomomo: 昨日黄金糖大好きっていったら公式さんにいいねされたから喜んで見に行ったらフォロワー57人だったしオンラインストアBASEだし2019/6/25から開設してたみたいなのに微塵も知らなかったのでもう全員に伝われ https://t.co/c3…,2,"アイコンを変更しました！！
素敵でかわいい、いとーじちゃんです！！！！
イラストはおやすみまくらさん（https://t.co/zhnBYv2RZt ）にお願いしました",2
RT @yamatogokorous: 「日本大好き」とか「日本凄い」という言葉にパヨクは発狂する。しかし我々は日本人であることを誇りに思う時にとても清々しく幸せな気分になる事を知っている。国を愛する事は自己肯定感に繋がる。自分がもっと好きになる。他国を否定しなくても良い。自分…,2,"@Dual_Bullet ありがっとーー！！
つよつよPCうらやましい",2,@chokki_hansei チョッキさん、完璧主義だと疲れるからズボラ全開で生きます😆,2,"鬱ひどくてクエチアピン飲んだ次の日ずっと寝たきりだったから寝れなくて…父親に「引きこもってばっかりいるから寝れないんだ！！💢」って言われて

はぁ…🤦‍♀️もうヤダ…おはよう",2,"@A_1Song_Heart ZARDいいよね(o˘◡˘o)
頑張ろう!とか癒されたり…色んな曲があるし歌詞見てるとグッとくるのもあるもんね🎶
ポケカラは遅延っていうのかな🤔コラボも個人でもやけどズレたりする？

あーちゃんの歌声… https://t.co/zPM40LeGC3",2,コロナで収入が減って必死だった人もいたでしょうね💦でもこの手の人達はそういう人からお金を搾り取っても平気なので、知識で武装したり誰かに相談することで自分を守るしかないんですよね😓,2
"200人の方にフォローしていただけて
凄く嬉しいです😭🤍

ライブ会場でもご挨拶したいので
もっと仲良くしていただけると喜びます😣 https://t.co/2W1MH2hjIV",2,"@yoshinomitsusya サーフィンとか無理だよ😅
泳げないしw
でも、海が好きだからチャリで行けるのうらやましい",2,"@majimeiranai ですね〜
イベント疲れるけどよく寝れる🥰

はい、うとうとしまーす！",2,RT @7Znv478Zu8TnSWj: つまり「税金を使うな💢」ではなく、「国葬で元が取れる」という仕組み。,2,RT @gomomomomomomo: 昨日黄金糖大好きっていったら公式さんにいいねされたから喜んで見に行ったらフォロワー57人だったしオンラインストアBASEだし2019/6/25から開設してたみたいなのに微塵も知らなかったのでもう全員に伝われ https://t.co/c3…,2,"結果、今日お昼休憩アキバ行って買ったものー笑

バオハックモン×4枚www
何枚あってもいいですかんねー(4枚以上はいらん)www

ジエスモンデッキのパーツ♪
メタルグレイモンX抗体はなんかカッコよかったのでついw",2
@hana_wpw はなちゃんはいつでもめちゃくちゃに可愛いわよ！！！！でももっとぶりっ子してくれてもいいわよ,2,"@rokunotiti6060 集荷場でカキ氷食べられるのうらやましいです🥺
引き続きご安全に🚛😆",2,"RT @mitokuma: にんげんに恋する死神ちゃん

普段は見えないけど疲れると会える！

遅くまでお疲れ様🌃 https://t.co/6HJFGPEUBU",2,@1884_meijichoco 它家信用卡额度给特别低💢,2,"RT @potatoorhamburg: “Laugh” In the LIFEとSpecial Oderが👏
PARTY PEOPLEが解禁される前日の記事なので、今ならPARTY PEOPLEが選ばれていたかもですね🥰
高校生が推す「盛り上がる曲」5選　SixTONES、ず…",2,"つむぎさんおめでとうございます😭♡
とっても美しい方と繋がれて嬉しいです♡♡♡",2
RT @nipponkairagi: 不動産業者が使う一種単価最低200万は固いと思われますので、600％の六種で最低でも1200万はすると思われます。商業テナントの賃料次第では、もっと坪単価は跳ね上がります。坪524万は異常な価格で確実に半値以下です。,2,どんな境遇であれ打ち込めるものがあるってのはうらやましい,2,"迷信シリーズ
自分が鏡に映る状態で眠ると大変疲れるそうです
 #雑学",2,RT @airi_deshi_555: コイツら🇰🇷サッカー⚽だけじゃなくって野球⚾でも最低じゃんか❗😠💢 https://t.co/iif19rQvgt,2,RT @gomomomomomomo: 昨日黄金糖大好きっていったら公式さんにいいねされたから喜んで見に行ったらフォロワー57人だったしオンラインストアBASEだし2019/6/25から開設してたみたいなのに微塵も知らなかったのでもう全員に伝われ https://t.co/c3…,2,"発信側に回るとめっちゃいいですよ。

すぐにネタ切れするから、インプットして記事を書く。

調べてつぶやく。

インプットとアウトプットを強制的に繰り返すから、めちゃくちゃ知識増えて、人から気に入られやすくなる。

やらない理由がないんです…",2
"お疲れ様でした‼️

本日2の1的中でプラスで
終われましたが
もっと勝ちたかったですね

早速明日の
仕込みに入ります👍 https://t.co/YCNoWHrl41",2,#ACL2022 ノックアウトステージラウンド16は、リンク先には無いものの全北現代M2-1大邱FC（延長）、そしてこちらではV神戸3-2横浜FMですか。ACLの舞台に立つ事自体がうらやましい。柏も先ずはJ1残留を決めてから、更な… https://t.co/CRMWsF4PVq,2,"RT @mitokuma: にんげんに恋する死神ちゃん

普段は見えないけど疲れると会える！

会いに来てくれることにめっぽう弱い死神ちゃん
「夏コミ…！来てくれてありがとうっ」 https://t.co/1BJOuCjRk8",2,"RT @Happydsk1: めっちゃ腹立つー！😠💢

地元のニュース
「県内で新型コロナでの20代の死亡は初です。交通事故で搬送後、感染発覚しました。直接の死因は新型コロナではないということです…」
だって！！！！
ふざけるなー💢

交通事故死の20代をコロナ死に含めるな！！😡",2,最終日どうせ自然回復待つ時間ないからBP50ぐらいで走らせてくれたらいいのにな,2,"@kirurin やっぱ座間って手強いんですね🙄🙄🙄
遠征するなら2公演入りたいですもんね〜モーニング一般取れたらいいですね💪
25周年イベ行かれるんですね！！！いいなー！！！！",2
"両親 糖尿病!?
だったら もっと早く 食事考えてよー

 #仰天ニュース",2,すごく自然体で早めに処理できてる人がうらやましいよ〜,2,@nachoocb2 今日も暑いねぇ🥹ほんと、今日の夜は眠れるようにいっぱい疲れるぞ！w,2,@_snoa__ ツンデレかよウケる好みじゃない〜💢💢,2,"【よくある質問・再録コーナー】
元素好きなのにあんまし化学に興味が持てません。
どうすればいいでしょうか。

https://t.co/aFaeXNVyvb",2," @Marinyan_gbf: 今年6月新設の「にゃんだーランド」です💖
ただいま1名様募集中✨
モチベ高くておしゃべり大好きな方を募集♪
しっかりグラブル頑張りたい方はぜひぜひ😆
おしゃべりしない人やマナー悪い人はゴメンね😝
質問があれば私にDMして大丈夫♪
募集内容は画…",2
"RT @tomaxmato: ドラ武
イヤイヤ期🎍、🐉にやれやれと抱っこされて嬉しくてニヤニヤ…ホントはもっと🎍を小悪魔的にしたかったんだ…… 

#ドラ武 https://t.co/hcqEYLWCTS",2,"@tanukichi_tw そうなんですね、うらやましいです。
私はザラ場見れても「損失拡大のイメージ」しか浮かばず、結局は兼業で時間軸長めでやる事が自分には向いているんだろうなーからまったく進化できません😰
まあ結局は利益出てれば何だって良いですよね、頑張りましょう😊",2,"RT @mitokuma: にんげんに恋する死神ちゃん

普段は見えないけど疲れると会える！

眠れなくても安心してにんげんっ https://t.co/FAzfDNvbES",2,"RT @komoreb70880740: #Twitter一揆0817
#国葬より十万円の一律給付金を出せ
@kishida230
国葬に37億円の無駄遣い止めて国民のために使え👿水害やコロナや物価高騰でみな困っているのに💢
猛暑で電気代が大変だ😭
逃げないで早く臨時国会を開け…",2,"初めてのところで整体行くのに
朝から準備してたら
マッサージ行くだけなのにお化粧しなくていいんじゃない？とか言ってきて可愛いんだけど🥰",2,25日から学校始まるのに課題1個も手つけてません。仲間いませんか。いませんよね。分かってます。やります。やりたいんですけど、aespaが脳みその99%をしめているので、課題なんて頭にないんです。,2
RT @Kritter_sub: もっともっともっともっともっともっと https://t.co/r9sfmBVeZw,2,@_Zq0_ うらやましい父・・🍻(´￢｀),2,急な出費に妻が怒ってて最初から電動ママチャリを勧めてたのにロードタイプのコレがいいと息子。結果的にカゴはなくて不便、坂道疲れる…しまいにすぐ壊れた…😨 https://t.co/qcacv0Dj60,2,"RT @Futookaiko: @miyamototooru 詭弁
一般論として「名前を変える」こと自体は「人を騙す」という行為にはつながらない。
しかし、統一教会の名前が変わることはどうなの？って話だろ！💢",2,"RT @S_R_NEW_KATANA: こんなの見たくなかったなぁ・・・・

あえてお店の名前は伏せますが　せっかく地元で頑張ってくれてるお店なのに・・

一部の心無い人のせいで皆が迷惑するんだよ。

再販なんかふらっと寄ってあったら　めっけもの　くらいのスタンスで良いでしょ？…",2,"@ezo_shima_risu りすさ～ん(*ﾟ∀ﾟ人ﾟ∀ﾟ*)仲良し～♪
私も、大好きです！！！",2
"色々と案件もらうけど企画してから実現すること少なすぎる。一流アングラーやっても同じことなるか？答えは否。

自分の力量不足です。

応援してくれてる方、すみません！
もっと頑張ります！

#デコに小豆ついてる
#じゃかましいわ… https://t.co/UZjVxjSntN",2,"こんばんくま～🧸

見れば見るほどVtuberの世界って才能面や経歴面でハイスペックなステータスを持ち合わせた方もたくさんいて、うらやましいと思うのと同時に自分も努力しないといけないんだとなります！💪

とは言え僕はマイペースな性… https://t.co/21bBCCoFVO",2,"歯医者での歯の掃除、顎が疲れるので嫌
あとピアノアレンジの音楽聴いてるだけだから暇
まあ、ピアノアレンジとか好きダカラいいんだけどね",2,@VDB_6 @Marin58929684 @worldQat 🤨 كذبت ،، المغرب والجزائر لطالما قدموا افضل المستويات ،، ( المغرب والمانيا ١٩٨٦ م )… https://t.co/qavZxCpdt7,2,"何もかも任せんなや💢
お前も売るのになんでいつも私が同意書書かないといけないの！？
お前も書けよw いつも私じゃないか

しかも塾があるなら言えや
遅刻してもいいから〜なんて呑気に言ってたら結局親御さんから怒られて10:00集合1… https://t.co/C5pei08xZ4",2,"@tasmania1015 @CQ_natsuki_0625 @cq_maru_a @CQ_ayasa_o ごんべぇさん、ありがとうございます！！
配信アーカイブ見てくださったの本当に嬉しいです🥲あけおmerci、懐かしい🤔🤍",2
